"corr_type","Name","Description","Summary","wtdprop","n_colleges","mr_kq5_pq1","mr_ktop1_pq1","k_rank","k_q1","k_q2","k_q3","k_q4","k_q5","k_top10pc","k_top5pc","k_top1pc","k_rank_cond_parq1","k_rank_cond_parq2","k_rank_cond_parq3","k_rank_cond_parq4","k_rank_cond_parq5","kq1_cond_parq1","kq2_cond_parq1","kq3_cond_parq1","kq4_cond_parq1","kq5_cond_parq1","kq1_cond_parq2","kq2_cond_parq2","kq3_cond_parq2","kq4_cond_parq2","kq5_cond_parq2","kq1_cond_parq3","kq2_cond_parq3","kq3_cond_parq3","kq4_cond_parq3","kq5_cond_parq3","kq1_cond_parq4","kq2_cond_parq4","kq3_cond_parq4","kq4_cond_parq4","kq5_cond_parq4","kq1_cond_parq5","kq2_cond_parq5","kq3_cond_parq5","kq4_cond_parq5","kq5_cond_parq5","par_q1","par_q2","par_q3","par_q4","par_q5","kq345_cond_parq1","k_rank_cond_parq123"
"Public","RATE11","Self Rating: Mathematical ability","RATE11.average",0.337297119273798,71,0.0311498209595843,-0.436730452325139,-0.824421821581181,0.394310834632063,0.724963422669667,0.745836619353795,0.809335472710282,-0.849835064659135,-0.8895190250948,-0.877216353917689,-0.773468530740207,-0.704494071239529,-0.764026068912992,-0.821946201439986,-0.800748992267122,-0.834097291367603,0.0305029437659101,0.56946533007006,0.704428732622649,0.675928744501448,-0.772056542564987,0.190854406451467,0.666695529685053,0.676580376908003,0.778070986047745,-0.805044057416131,0.401636767205107,0.726772739419023,0.728607098337059,0.712602326849358,-0.832381340404899,0.238787556414353,0.637314561120305,0.731681034820813,0.732750232121167,-0.819263295763535,0.337085757990104,0.704021086751142,0.762822378916236,0.809176184547002,-0.858454533190214,0.368109532836915,0.511394760499585,0.612976680361509,0.542326851463029,-0.690036710667451,-0.443050791982366,0.419719928296036
"Private non-profit","RATE11","Self Rating: Mathematical ability","RATE11.belowaverage",0.149001271995839,280,-0.184577681596268,-0.576937614322065,-0.775111848266977,0.349132239056817,0.653371972916737,0.760713761889987,0.750867764567672,-0.80755092091122,-0.85118733185694,-0.849749508065385,-0.755641268181042,-0.677022077982294,-0.721522935989945,-0.721805910415403,-0.733848767716521,-0.762186586817256,0.22663301310799,0.433603854430281,0.541066183539968,0.47530910150892,-0.746861233348297,0.260995905483917,0.546960419028684,0.652179693299737,0.576723041033995,-0.771454626870367,0.2376449002809,0.536880945151991,0.667137903336491,0.647842308126244,-0.771003645480989,0.215678882082779,0.559055532651469,0.707556177477952,0.707836890904298,-0.774936427198183,0.291708759802417,0.5902176872661,0.740630598240718,0.749824279354745,-0.80410163410384,0.284092601430707,0.467277396892507,0.589939249945376,0.541493208957238,-0.59956552361152,-0.433431836244608,0.334733110615458
"Public","RATE11","Self Rating: Mathematical ability","RATE11.belowaverage",0.14443975587415,71,-0.129981395302461,-0.526791076707103,-0.866115740542991,0.412495004419549,0.778643034240508,0.824266215222181,0.792444538211994,-0.885365936850059,-0.906311233076559,-0.883123365556013,-0.784545456897415,-0.782941844904063,-0.81988593784018,-0.855999317257313,-0.830525274395215,-0.871218050366132,0.193983259258821,0.617012958667302,0.738042282624926,0.68289566542004,-0.839134796318001,0.342705740790535,0.690629685239114,0.740039299672259,0.726496170937618,-0.839652266843423,0.427199943139684,0.747020491819287,0.80265267949755,0.666222149098388,-0.851218045594849,0.217690552134698,0.691315772275551,0.784066588664973,0.732316796486397,-0.847022670566621,0.334036890275928,0.756897399894328,0.841104394654231,0.805486591620117,-0.893138499118254,0.310213800431577,0.493597264038354,0.687937128881524,0.564876226617861,-0.697625792681166,-0.559091369837874,0.363924894360023
"Private non-profit","RATE11","Self Rating: Mathematical ability","RATE11.highest10pct",0.143906003441528,280,0.121885779774243,0.631677196709622,0.606904091892345,-0.240631697365001,-0.483226466270388,-0.564479252498222,-0.648388519199023,0.636623332426225,0.715188909280141,0.759805865586596,0.766604967268799,0.552227786681447,0.573534260928101,0.526330340341402,0.562274887162016,0.602139955707645,-0.162466662690721,-0.331122938387515,-0.397308094989459,-0.482288037115126,0.619488530783444,-0.157201685814482,-0.412565494553528,-0.502656374701457,-0.534933574759949,0.621474661105875,-0.085610388688546,-0.361779588988713,-0.477660202008835,-0.60266397585091,0.595723095744913,-0.114114316682969,-0.415304504256808,-0.521193837792166,-0.612217222844137,0.607807906095761,-0.215348732198024,-0.442429607291739,-0.547917746865088,-0.626403093291425,0.631106933162757,-0.230798480223932,-0.379041166578505,-0.467777674811346,-0.437754588212289,0.48228015857917,0.324306853384529,-0.290594398180848
"Public","RATE11","Self Rating: Mathematical ability","RATE11.highest10pct",0.150172390724864,71,0.0923613213874259,0.51600321596491,0.857731550146868,-0.385890436509668,-0.742895325846835,-0.79420738214825,-0.857278721960401,0.892510805210658,0.930955545543432,0.912732903601967,0.805907287622594,0.761585622568404,0.813853439932123,0.86145895543093,0.839872313092982,0.866322734448264,-0.0829493264572194,-0.602890573231222,-0.754228986402941,-0.72479257956746,0.835181680229904,-0.250162934101598,-0.677123847084316,-0.732322428567942,-0.826063380003119,0.860392548349081,-0.376586552989676,-0.745410358195217,-0.793120563185812,-0.769713793708838,0.884634406151173,-0.216090949417469,-0.664308607720205,-0.779438501303323,-0.802215754046446,0.875514374230415,-0.333751147109487,-0.723295743408404,-0.806965645326759,-0.850011347857459,0.897283655329673,-0.28421917979524,-0.453443890806666,-0.638182594564257,-0.599132935197948,0.674187688794301,0.493937457568906,-0.342630765469629
"Private non-profit","RATE11","Self Rating: Mathematical ability","RATE11.lowest10pct",0.029882431449915,280,-0.147645156814165,-0.501075431841654,-0.750253564694338,0.331170043244001,0.647271937111615,0.763970881207766,0.711230460138992,-0.785869021416464,-0.798758153032339,-0.780098759712888,-0.669784374938781,-0.647206724632584,-0.689069460917133,-0.709806316352925,-0.70634241576661,-0.733010332085463,0.232300774045578,0.40905127306851,0.547287073440491,0.420107361557431,-0.714245803786253,0.23681736676303,0.532601170215854,0.652582301174291,0.526921433629118,-0.738746040422168,0.244957718101489,0.546015389514451,0.662627295242732,0.599220201095337,-0.749501409196971,0.198884902460095,0.546290027446475,0.707848649788197,0.67289571390471,-0.751319695809911,0.277308802639932,0.572353373672741,0.732746559956653,0.724183252337479,-0.781386130204487,0.327813760972492,0.498380668706708,0.599004430926166,0.509378683155314,-0.607256385613676,-0.420553609051914,0.369981161294473
"Public","RATE11","Self Rating: Mathematical ability","RATE11.lowest10pct",0.0291180799275444,71,-0.0862884609849628,-0.42804780498468,-0.787209350660398,0.431739094923252,0.747753265762857,0.750507167802408,0.628200190261698,-0.779137389312259,-0.786522334796684,-0.758111292255505,-0.668567706973838,-0.716174099555338,-0.731502874201191,-0.760920990351645,-0.742287839614745,-0.795256607151081,0.258531613637526,0.569561868304701,0.651407032708914,0.539034367147571,-0.742926502803253,0.366239459645846,0.629243517145605,0.671352160917543,0.561592306039697,-0.730262875249228,0.435186938128563,0.681282521352863,0.708726560633303,0.499982780324672,-0.726330268568309,0.223868132678323,0.66869361797439,0.705843802692853,0.576493677354625,-0.733253828592382,0.365706986981083,0.750734294785034,0.751209061549216,0.646225680976495,-0.786184800851145,0.341406378999539,0.508017645220313,0.633574062885745,0.419985632330221,-0.638295125497006,-0.55512747142093,0.374638317299086
"Private non-profit","RATE13","Self Rating: Popularity","RATE13.aboveaverage",0.33015740296797,280,-0.0904580577529061,0.349914076399911,0.562013862718586,-0.216383563750637,-0.503633630132792,-0.588880730765413,-0.49318001378832,0.574550240191996,0.594845441077196,0.634807672784917,0.63322950520395,0.416319454118233,0.513672205270041,0.529888385285522,0.539819562267141,0.531911028109157,-0.123076699062897,-0.22809831786182,-0.356939360004593,-0.287757454066215,0.447090694915959,-0.22659394007469,-0.441539440116037,-0.435836811270372,-0.353203011092768,0.537353754031741,-0.220546014752943,-0.439544684758533,-0.511335263412792,-0.354907105438314,0.537369566454765,-0.159996145973397,-0.461522955054706,-0.532602403470243,-0.435030195011951,0.544729209121916,-0.154917115741507,-0.43420978538651,-0.574195952736165,-0.494956313289809,0.558288261006964,-0.336847545820093,-0.462688881494753,-0.632442514025152,-0.641460626778866,0.66376029696306,0.230438976926982,-0.469902791012276
"Public","RATE13","Self Rating: Popularity","RATE13.aboveaverage",0.33210191898271,71,-0.377521321360539,0.0219069103597984,0.384219895087013,-0.218485323081143,-0.392138194545984,-0.342538609970592,-0.246106062159566,0.350381237651,0.400446321433347,0.442140621396413,0.461588459926212,0.235115320668782,0.269226504935731,0.30942630496231,0.287187273680758,0.399165162343387,-0.0618833364448069,-0.222178407188063,-0.162800292676438,-0.189428347158825,0.230179471312939,-0.147772096745295,-0.276388270923817,-0.213330538013361,-0.115835662898003,0.229467113014164,-0.28768295333049,-0.316034568439456,-0.224184286795246,-0.0961351904951514,0.246577762549559,-0.0769553263459271,-0.2836397176118,-0.257742500224879,-0.143781434154997,0.240722979785085,-0.092788630443885,-0.450588631470432,-0.399021871716536,-0.260911692271718,0.370637936938487,-0.527554658139003,-0.553834530478645,-0.49692578524509,-0.225509482887626,0.595471725126696,0.197401633472442,-0.59445033216386
"Private non-profit","RATE13","Self Rating: Popularity","RATE13.average",0.517023727386479,280,-0.0316707701138708,-0.45234160742718,-0.511969336486704,0.188264724505974,0.41813077459833,0.513666243661091,0.511473435345862,-0.532958493247668,-0.589961051236671,-0.643036265383512,-0.657506004265964,-0.41327614571461,-0.480146653440094,-0.468655715205012,-0.497612113345513,-0.496455083102123,0.112339733796734,0.223062165994112,0.309898595988559,0.327724683843847,-0.439471426007983,0.195418175203714,0.38462107041948,0.414964845086527,0.368218267010331,-0.509960654951168,0.162240515527494,0.343917831795566,0.449638077663231,0.406718608266585,-0.500444788519042,0.150173877613427,0.395498634331631,0.454904248252537,0.461454557926666,-0.512615497080213,0.139536259493581,0.365839384919989,0.523449467106536,0.501409658697619,-0.52579667885287,0.185940795724892,0.314690093828028,0.539169687450618,0.629980001588652,-0.556383758638973,-0.220294374949794,0.326056460238369
"Public","RATE13","Self Rating: Popularity","RATE13.average",0.514666495961938,71,0.316829192817591,0.0154884581284381,-0.349371062545387,0.121355055408572,0.328675343411221,0.308353567513799,0.322393045803964,-0.346262664134907,-0.412510566740033,-0.448467936186127,-0.445001624890351,-0.207803610445634,-0.245204104292967,-0.304352305285704,-0.27735318786619,-0.372004569306887,-0.0415038475955595,0.21569483080899,0.177196004603645,0.209852894700869,-0.221439560236272,0.0200544778053042,0.234642233421665,0.21866646036939,0.204526314701382,-0.239046475411769,0.194072454271432,0.335103086537561,0.21422191902111,0.203769197906495,-0.279963945128003,0.0168250792564502,0.235819129358948,0.243074126881752,0.24253310799472,-0.267755173832935,0.0355483400750238,0.36619104823863,0.37440920641913,0.331286726079177,-0.372055519043477,0.387337902858592,0.406556348515211,0.423143597511256,0.322179262460433,-0.517373486784704,-0.1417431072902,0.466451544409221
"Private non-profit","RATE13","Self Rating: Popularity","RATE13.belowaverage",0.0664518845087881,280,-0.00340983166048683,-0.134432024935362,-0.326185138933916,0.149234074137341,0.332200119538407,0.359819789237943,0.222924784815384,-0.324471006212857,-0.290568713343649,-0.304198368321193,-0.302435542897069,-0.182220421591277,-0.277019487253503,-0.325760995248004,-0.348179055640737,-0.31450666582417,0.0867975575252306,0.0774985816238697,0.188836689738572,0.114265483508404,-0.208361196613721,0.16109462778671,0.270143583665097,0.233945736349424,0.145622477439256,-0.288692006446695,0.166863563668385,0.325823595478224,0.338342495969282,0.117419679337424,-0.312046092156534,0.155896611469812,0.332091434002899,0.342533248571389,0.189848903285456,-0.325067598384031,0.111555129743059,0.301607102479551,0.36372386511719,0.226206098137457,-0.320729531760183,0.100596651613574,0.192637372400531,0.382734097368433,0.44263672673633,-0.378137777630119,-0.106656859709743,0.216016290404347
"Public","RATE13","Self Rating: Popularity","RATE13.belowaverage",0.0656600594300252,71,0.217257703484075,-0.00975924734075225,-0.0229789319699184,0.0700126741950825,0.0486311128258996,0.038114495679602,-0.128222940057984,0.0244797774949719,0.00694976532177334,-0.0462684371777005,-0.144100555879905,0.0208505155950528,-0.00265128153630305,0.0337462989805624,0.055865719174392,-0.0140358579401268,0.081303324428487,0.00987170011276496,-0.10597167291006,-0.0544376367261663,0.0513280585430218,0.234064319540319,0.0179080171778465,-0.0492166557191483,-0.224063416103677,0.0743469059680723,0.0944910518461261,-0.0550580959566823,-0.0261780579876824,-0.192458262924464,0.0932006845840143,-0.0186758047063811,-0.00813810703644156,-0.0218503978234291,-0.195197673476201,0.113015603257629,-0.0236586651568622,0.105332820135361,0.0563595534342618,-0.139202792422357,0.0337703073523298,0.277353926906183,0.260868759005819,0.252377928511334,0.0078146547335814,-0.257276384706775,-0.0473573912127615,0.328540970144402
"Private non-profit","RATE13","Self Rating: Popularity","RATE13.highest10pct",0.0755937693684001,280,0.225171487515801,0.410404008195484,0.323009519809506,-0.1273001837937,-0.243241457405447,-0.306664027643923,-0.353219767418376,0.34119473096454,0.390982632374581,0.442285988069663,0.478865229489499,0.259423537199531,0.303082525187493,0.290907257073183,0.350261621318733,0.334406857924587,-0.0858930331966247,-0.119034321659296,-0.158296650387054,-0.252531735342605,0.280134632116536,-0.141395057239743,-0.22818762654641,-0.268672198153916,-0.242405018480075,0.32936223537628,-0.0810068582289387,-0.19966481172981,-0.298262524892994,-0.289620110956538,0.328119217006351,-0.152563410425802,-0.270684989640219,-0.274422402944739,-0.322499163870883,0.351133418891458,-0.102089134060392,-0.237113490625272,-0.351968641787718,-0.33558646934818,0.352666268965083,0.13190208518627,0.013114372733873,-0.304569135962387,-0.523851313442319,0.280234083553641,0.133916653750899,-0.0176556404355793
"Public","RATE13","Self Rating: Popularity","RATE13.highest10pct",0.0758672385275065,71,-0.138705559969635,-0.0575644816860608,0.0236873519802172,0.0727789506576616,0.0107009797398442,-0.0333888037235133,-0.0625972709995544,0.0293475460064418,0.0886894431395843,0.137621840827891,0.19810153937958,-0.014532791299518,0.0206257913428739,0.018909128506042,-0.0220806916053975,0.0316837012614872,0.0794801513175467,-0.0588097839775053,0.0476870397924504,-0.00078988337719538,-0.0205372971169267,-0.0436379778808225,0.0100800580237968,-0.0178365106260137,0.042498484578247,-0.00588957490217375,0.0311356797907462,-0.0451216743923902,0.00019661066892298,-0.0444802380871562,0.0247277469522026,0.124740344301066,0.058095747661137,-0.00327422599231028,-0.030687884661129,-0.0122805477298395,0.101319242260015,-0.0135512865250969,-0.073505889204434,-0.0399291591435821,0.0319250506134342,-0.064325475911009,-0.0384030408075986,-0.192961732677145,-0.261455476833095,0.19779754314569,0.00516368262622371,-0.152754726213186
"Private non-profit","RATE13","Self Rating: Popularity","RATE13.lowest10pct",0.0107732157683627,280,0.142638476220704,-0.112148231645769,-0.366412289200674,0.153415620221636,0.3723885068582,0.396261526526743,0.259233917514063,-0.362979066416342,-0.339451985614436,-0.367388581199423,-0.387169489629174,-0.251616721593887,-0.330171314067195,-0.353332260436159,-0.342622890293537,-0.336991730597194,0.0902031780588865,0.152919518621619,0.239993521783421,0.132092832217804,-0.27208732367224,0.202529813461521,0.292210414467207,0.259162499916485,0.169637580732458,-0.32745992446631,0.171923936975638,0.339693378070088,0.357887262419607,0.121816352505785,-0.326547821853159,0.0960635645683255,0.331037084259035,0.378049644479827,0.198599815372138,-0.329684428360476,0.0924917261048097,0.338160843814345,0.351314260789084,0.285461519667481,-0.349995978687836,0.297638652686993,0.380530057629443,0.453836330306316,0.407640022670843,-0.480037937397191,-0.159338462367343,0.386661098997342
"Public","RATE13","Self Rating: Popularity","RATE13.lowest10pct",0.01170428709782,71,0.22457751466265,-0.0817248241838463,-0.316026295469145,0.321657550968082,0.346875914324702,0.285109674589585,0.0617928684848616,-0.249335442154849,-0.25566200182035,-0.279593043606894,-0.32069828982871,-0.26585951843935,-0.27529651927642,-0.249869387474131,-0.230833350179232,-0.312963444318032,0.291159846503342,0.227425335567429,0.114897090690661,0.0503742285463014,-0.204583097473722,0.362651810615067,0.267887104725178,0.204881616751159,-0.0567393565343907,-0.184596799354996,0.350660655248479,0.215888532056847,0.192467030595564,-0.0425591209232527,-0.159993062591666,0.151802168810988,0.254283249387422,0.229500681705265,-0.00115526322431872,-0.160012108894236,0.220120038369221,0.402706850345861,0.281749822491104,0.0759686288296107,-0.24804810512933,0.42946276712085,0.462234540204664,0.391712918759843,0.0629180679764269,-0.436647451102937,-0.313969119913491,0.446540591475654
"Private non-profit","RATE14","Self Rating: Public speaking ability","RATE14.aboveaverage",0.275409171803329,280,-0.213506361227189,0.390601312792361,0.243713349526788,0.109359341189616,-0.121172399167142,-0.328975414612175,-0.416805525117579,0.304127066485813,0.394894028506312,0.500501474850383,0.636344424004216,0.239137818546943,0.232436755597954,0.17949792687711,0.168532546102332,0.205197506016316,0.025038296807101,-0.165120970351678,-0.234208894741949,-0.274839171719793,0.303989853480984,0.0467049662177984,-0.203154029203373,-0.263845373794278,-0.25979553851808,0.280151692642868,0.117633301719424,-0.0697947430975428,-0.269209333887327,-0.317658797482172,0.25221558670978,0.165016323715451,-0.00820639761479161,-0.281420382285194,-0.36411466502268,0.246590838091624,0.129589670755792,-0.0623160875108245,-0.256320304694486,-0.419655539620125,0.26592855537032,-0.374995534124862,-0.486946837962845,-0.53123977604766,-0.513742407686931,0.593502169957861,0.0948595457181064,-0.529048065467732
