corr_type,Name,Description,Summary,wtdprop,n_colleges,mr_kq5_pq1,mr_ktop1_pq1,k_rank,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,par_q1,par_q2,par_q3,par_q4,par_q5
Pooled,CHOOSE25,Choose to Attend: This college has a very good academic reputation,CHOOSE25.veryimportant,0.650273956,351,0.008819097,0.446393703,0.708402189,-0.30589544,-0.605357299,-0.703242373,-0.637429968,0.721914312,0.749778288,0.764439352,0.716920743,0.586500203,0.661495355,0.675203032,0.657398934,0.68076384,-0.119468524,-0.428554132,-0.541032886,-0.443327105,0.65754217,-0.251375826,-0.553689217,-0.575976166,-0.501722594,0.678977576,-0.277355763,-0.51637228,-0.642337399,-0.50210603,0.677593179,-0.200192362,-0.511639935,-0.64391327,-0.56683806,0.669259245,-0.224977387,-0.514658821,-0.685315309,-0.649522937,0.706218576,-0.362359117,-0.533532534,-0.660049601,-0.555890138,0.680358314
Pooled,CHOOSE26,Choose to Attend: This college has low tuition,CHOOSE26.notimportant,0.566050555,351,-0.178540507,0.271363216,0.301197811,0.022718894,-0.184346191,-0.35334915,-0.418422672,0.351071033,0.40266546,0.457714308,0.48417068,0.290879403,0.284370608,0.300963303,0.304896411,0.237510067,0.042299091,-0.223482555,-0.336127771,-0.286642747,0.360462966,0.002830931,-0.212276806,-0.282978416,-0.324897599,0.323184402,0.00684044,-0.136186391,-0.354893007,-0.370632887,0.349895706,0.008579905,-0.155675878,-0.310378175,-0.411227513,0.352502654,0.076399405,-0.098233385,-0.311268579,-0.386132925,0.296250284,-0.332632151,-0.381052643,-0.384326483,-0.428214193,0.490029982
Pooled,CHOOSE26,Choose to Attend: This college has low tuition,CHOOSE26.somewhatimportant,0.284174814,351,0.134523445,-0.322983611,-0.305419563,-0.034742949,0.174520052,0.355910064,0.445646051,-0.360171362,-0.419990618,-0.488106195,-0.536264304,-0.31561714,-0.297185003,-0.309807475,-0.308798802,-0.238596645,-0.030126678,0.227761751,0.355336965,0.308712404,-0.385297751,-0.005336381,0.216822878,0.296808361,0.350314763,-0.340991234,-0.014809871,0.142419578,0.365428074,0.384638648,-0.360773609,-0.021923886,0.15051803,0.312330141,0.433581004,-0.360909719,-0.089474805,0.083530172,0.308563592,0.413833214,-0.302950785,0.289242863,0.362512244,0.404947786,0.476618125,-0.499380332
Pooled,CHOOSE26,Choose to Attend: This college has low tuition,CHOOSE26.veryimportant,0.149774631,351,0.206463068,-0.183341164,-0.261918855,-0.006871326,0.173965957,0.309901948,0.340346358,-0.300687587,-0.337296271,-0.37163252,-0.371158993,-0.230204135,-0.237568204,-0.256623237,-0.265543721,-0.209004972,-0.050834155,0.193076117,0.276335297,0.229391471,-0.291680112,0.000252415,0.182865051,0.235218233,0.259563028,-0.266423798,0.002718336,0.113666487,0.302490837,0.312600611,-0.297690756,0.007094847,0.143453608,0.272542095,0.339338976,-0.302717701,-0.053222362,0.103122835,0.278456206,0.311244354,-0.254811743,0.342146143,0.357647097,0.317437727,0.325697801,-0.423393741
Pooled,CHOOSE28,Choose to Attend: This college's graduates gain admission to top graduate/professional schools,CHOOSE28.notimportant,0.252044521,351,-0.149897747,-0.521038516,-0.750832938,0.383831202,0.64808585,0.728202269,0.636088832,-0.752730764,-0.760977662,-0.775375941,-0.724006218,-0.635448198,-0.718301841,-0.724182245,-0.715430857,-0.725054923,0.1866239,0.439818522,0.547071106,0.439340596,-0.684455665,0.343183381,0.595731463,0.608898979,0.477872238,-0.71463788,0.352903924,0.547491823,0.677125062,0.506616356,-0.715978241,0.275460313,0.568093208,0.671211115,0.585063219,-0.714666111,0.300419226,0.562840452,0.711771251,0.642011077,-0.738288929,0.235876156,0.451787731,0.721455721,0.674730506,-0.691143593
Pooled,CHOOSE28,Choose to Attend: This college's graduates gain admission to top graduate/professional schools,CHOOSE28.somewhatimportant,0.380025262,351,-0.033899924,-0.402629091,-0.261054429,-0.032041697,0.124010474,0.255651783,0.441482892,-0.312628,-0.415600584,-0.504425922,-0.576245658,-0.228480418,-0.265615457,-0.245187616,-0.234334429,-0.254412244,-0.071815343,0.191725741,0.208257798,0.347236051,-0.306979728,-0.007432798,0.16270955,0.25872609,0.385672961,-0.32447434,-0.028325071,0.117848863,0.227862548,0.400413509,-0.305060867,-0.05516072,0.076299517,0.23210113,0.388559252,-0.286543865,-0.055311896,0.098376815,0.271893416,0.424715913,-0.307512097,0.060255547,0.135739018,0.25229926,0.403704447,-0.296813932
Pooled,CHOOSE28,Choose to Attend: This college's graduates gain admission to top graduate/professional schools,CHOOSE28.veryimportant,0.367930216,351,0.132236085,0.555029523,0.69292762,-0.298802764,-0.564170764,-0.672868074,-0.660822632,0.711730914,0.752868669,0.794228957,0.776856324,0.588968024,0.668221041,0.666121576,0.655429262,0.669914809,-0.126447501,-0.418896112,-0.51092496,-0.470593619,0.654779941,-0.27426495,-0.53491142,-0.577687631,-0.514539941,0.684979096,-0.275106753,-0.480984824,-0.622370678,-0.542656987,0.67955812,-0.203665996,-0.483682906,-0.619021047,-0.601948922,0.672298332,-0.22374305,-0.486840957,-0.665057149,-0.659982992,0.698371146,-0.210398813,-0.409797614,-0.666304623,-0.67933193,0.656768615
Pooled,CHOOSE29,Choose to Attend: This college's graduates get good jobs,CHOOSE29.notimportant,0.108703875,351,-0.046285135,-0.386643534,-0.770759229,0.494314547,0.727681556,0.71251276,0.544893029,-0.741983911,-0.720948536,-0.685938779,-0.568400907,-0.630772645,-0.730497682,-0.740431367,-0.756775736,-0.751232694,0.245952394,0.447211854,0.490163506,0.372326518,-0.648167156,0.413004425,0.638432755,0.571379517,0.413184823,-0.697663944,0.434111221,0.614780124,0.650231035,0.431855136,-0.702474602,0.40224404,0.665156106,0.677026113,0.504544573,-0.721073419,0.391885714,0.64649296,0.712793664,0.562392247,-0.738057166,0.34701461,0.468885364,0.568561542,0.4091985,-0.569690765
Pooled,CHOOSE29,Choose to Attend: This college's graduates get good jobs,CHOOSE29.somewhatimportant,0.319031208,351,-0.107242324,-0.400199036,-0.682323982,0.343815861,0.582298037,0.629655259,0.641249368,-0.699374007,-0.729091798,-0.712632157,-0.594061475,-0.567923755,-0.647782231,-0.665940659,-0.687533751,-0.673733023,0.141021915,0.403651069,0.475780016,0.444370389,-0.625013112,0.267546616,0.512742092,0.547812669,0.542456421,-0.67668563,0.296516899,0.514129188,0.580590388,0.561577239,-0.684505387,0.294796822,0.536305621,0.60640773,0.600926865,-0.695640866,0.276532805,0.527080797,0.64260163,0.634524867,-0.69927932,0.195769233,0.304196986,0.463728101,0.460952535,-0.470673438
Pooled,CHOOSE29,Choose to Attend: This college's graduates get good jobs,CHOOSE29.veryimportant,0.572264917,351,0.083557347,0.415267687,0.761960958,-0.435176646,-0.684071155,-0.703748874,-0.629299323,0.757770531,0.764549198,0.738229104,0.61375108,0.62900536,0.722786618,0.737948622,0.75817012,0.74761721,-0.199387601,-0.446528422,-0.508444251,-0.433540053,0.669982529,-0.352348452,-0.601233119,-0.588810292,-0.509249974,0.723394898,-0.379081224,-0.590585629,-0.645641001,-0.529186092,0.730181946,-0.362688675,-0.627598005,-0.673326197,-0.586785491,0.745528484,-0.347261078,-0.613310234,-0.711269603,-0.633926376,0.755817494,-0.279491608,-0.400279332,-0.539483893,-0.460830622,0.543991765
